#introduction

introduction,i-xiii
files|uploading,108
File tree|upload files,108
Upload Files dialog,
dialogs|Upload Files,108
removing|directories,108
renaming|directories,108
directories|removing,108
directories|deleting,108
files|editing,108-109
editing|files,108-109
directories|renaming,109
Rename Directory dialog,109
dialogs|Rename Directory,109
deleting|directories,109
files|removing,109
removing|files,109
renaming|files,109
files|renaming,109
dialogs|Rename File,109
Rename File dialog,109
files|deleting,109
deleting|files,109
Top Menu,109-128
MODX|Top Menu,109-128
Top Menu|Home,109
Home Top Menu choice,109
Manager|Home screen,109
MODX Manager|Home screen,109
Home screen of the Manager,109
system settings|site_name,109
site_name system setting,109
configuration check|Revolution,110
MODX Manager|configuration check,110
Manager|configuration check (Revolution),110
register_globals,110
troubleshooting|register_globals,110
warnings|register globals,110
warnings|unpublished error page,110
warnings|unpublished unauthorized page,110
error page unpublished warning,110
unauthorized page unpublished warning,110
unpublished error page warning,110
unpublished unauthorized page warning,110
MODX|News panel,110
MODX|Security panel,110
MODX|RSS feeds,110
RSS feeds,110
news RSS feed,110
security|RSS feed,110
system settings|RSS feeds,110
enabling|RSS feeds,110
disabling|RSS feeds,110
enabling|news feed,110
enabling|security feed,110
disabling|news feed,110
disabling|security feed,110
documents|recently edited (Manager Home screen),110
recently edited documents (Manager Home screen),110
resources|recently edited (Manager Home screen),110
Info panel,111
Online panel,111
users|list of currently logged in,111
currently logged-in users,111
logged-in users list,111
Top Menu|Site,111
Site panel,111
Site|View,111
Site Preview,111
Preview Site,111
Site|Clear Cache,111
site cache (clearing),111
cache|clearing,111
home page|previewing,111
locks,112
Site|Remove Locks,112
removing|locks,112
searching the site,112
site|searching,112
Site|New Document,113
Site|New Weblink,113
Site|New Symlink,113
Site|New Static Resource,113
creating|resources,113
creating|weblinks,113
creating|symlinks,113
creating|static resources,113
logging out,113
Site|Logout,113
Components menu,113
Top Menu|Components,113
Top Menu|Security,113-117
Security|Top Menu,113-117
Manage Users menu,114
Security menu|Manage Users,114
Create/Edit User panel|general information tab,114
Create/Edit User panel,114
Create/Edit User panel|settings tab,114
creating|user settings,114
user|settings,114
user settings|creating,114
Create/Edit User panel|access permissions tab,114
creating|access permissions,114-115
User|Access Permissions,114-115
user groups|adding users to,115
adding|users to user groups,115
assigning|users to user groups,115
user groups|removing users from,115
removing|users from user groups,115
user|extended fields,115
creating|user extended fields,115
extended user fields,115
Security menu|Access Controls,115
Access Controls menu,115
Access Controls menu|User Groups,115
creating|user groups,115
Access Controls menu|Roles tab,115
creating|roles,115
New Role button,115
Access Controls menu|Access Policies tab,115
access policies|creating,115
creating|access policies,115
access policies|editing,115
editing|access policies,115
Access Controls menu|Policy Templates tab,115
access policy templates,115
policy templates,115
updating user groups,115-116
user groups|updating,115-116
Access Controls menu|User Groups tab,115-116
user groups|creating,115
creating|user groups,115
updating|user groups,115
user groups|updating,115
roles|assigning to users,115
assigning|roles to users,115
users|assigning roles to,115
Context Access ACL,115-116
Update User Group panel,115
Access Controls menu|Context Access tab,115-116
ACL entries|Context Access,116
Access Controls menu|Resource Group Access tab,115-116
Resource Group Access ACL entries,116
ACL entries|Resource Group Access,116
removing|users from user groups,116
users|removing from user groups,116
Access Controls menu|Category Access tab,116
Element Category Access ACL entries,116
ACL entries|Element Category Access,116
Add Category dialog,117
dialogs|Add Category,117
resource groups,117
creating|resource groups,117
Access Controls menu|Resource Groups tab,117
resources|assigning to resource groups,117
assigning|resources to resource groups,117
assigning|resources to resource groups,117
Form Customization|Manager panel,117
flushing permissions,117
Security Menu|Flush Permissions,117
Security Menu|Flush All Sessions,117
Access Controls menu|Flush Permissions,117
flushing sessions,117
Access Controls menu|Flush All Sessions,117
Top Menu|Tools,117-120
Tools Top Menu item,117-120
Tools menu|Import Resources,118
importing|resources,118
resources|importing,118
Tools menu|Import HTML,118
importing|HTML resources,118
Tools menu|Property Sets,119
New Property Set dialog,119
dialogs|New Property Set,119
Property Sets|Tools menu,119
property sets|creating,119
creating|property sets,119
reports,120-122
Tools menu|Reports,120-122
Site Schedule,120
Publication Report,120
Unpublication Report,120
Reports|Publication Schedule,120
Reports|Manager Actions,121
Tools menu|Manager Actions Report,121
Manager Actions Report,121
error log,121
MODX|error log,121
Tools menu|Error Log,121
Tools menu|System Info,121
phpinfo,121
System Info,121
database tables|overhead,121
optimize database tables,121
overhead of database tables,121
recently edited documents (Report menu),121
resources|recently edited (Report menu),121
documents|recently edited (Report menu)),121
about MODX,122
MODX|About Report,122
help,122
MODX|help,122
MODX|credits,122
credits,122
documentation link,122
MODX|documentation link,122
PHP|help,122
MySQL help,122
xPDO help,122
help|MODX,122
help|PHP,122
help|MODX documentation,122
help|MySQL,122
